

Colorado (PST) SNOTEL Site Glen Cove - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:47:45 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
1057,2017-10-01,,     0.0,     0.0,     2.9,     7.5,     1.1,     3.8,       0,
1057,2017-10-02,,     0.0,     0.0,     1.9,     7.3,     1.9,     4.4,       0,
1057,2017-10-03,,     0.0,     0.0,     3.4,     7.8,    -0.2,     3.5,       0,
1057,2017-10-04,,     0.0,     0.0,     5.2,    10.0,     0.5,     5.2,       0,
1057,2017-10-05,,     0.0,     0.0,     8.2,    12.2,     4.9,     7.9,       0,
1057,2017-10-06,,     0.0,     0.0,     7.5,    12.4,     6.3,     8.3,       0,
1057,2017-10-07,,     0.0,     0.0,    -1.4,     8.8,    -2.4,     2.8,       0,
1057,2017-10-08,,     0.0,     0.0,     5.3,    12.1,    -1.3,     6.0,       0,
1057,2017-10-09,,     0.0,     0.0,    -6.1,    11.5,    -6.1,     5.0,       0,
1057,2017-10-10,,     0.3,     0.3,   -10.1,    -5.6,   -11.0,    -8.2,       4,
1057,2017-10-11,,     0.0,     0.4,     4.9,    10.0,   -11.2,     0.1,       0,
1057,2017-10-12,,     0.0,     0.4,     4.9,    12.1,     0.8,     7.1,       0,
1057,2017-10-13,,     0.0,     0.4,     4.4,    10.7,     1.6,     6.2,       0,
1057,2017-10-14,,     0.0,     0.4,     4.8,     9.4,     3.1,     5.6,       0,
1057,2017-10-15,,     0.0,     0.4,     0.4,     7.7,    -3.0,     2.4,       0,
