

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:57:25 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,
457,1980-10-01,,     0.0,     0.0,-99.9,
457,1980-10-02,,     0.0,     0.0,-99.9,
457,1980-10-03,,     0.0,     0.0,-99.9,
457,1980-10-04,,     0.0,     0.0,-99.9,
457,1980-10-05,,     0.0,     0.0,-99.9,
457,1980-10-06,,     0.0,     0.0,-99.9,
457,1980-10-07,,     0.0,     0.0,-99.9,
457,1980-10-08,,     0.0,     0.0,-99.9,
457,1980-10-09,,     0.0,     0.0,-99.9,
457,1980-10-10,,     0.0,     0.0,-99.9,
457,1980-10-11,,     0.0,     0.0,-99.9,
457,1980-10-12,,     0.0,     0.0,-99.9,
457,1980-10-13,,     0.0,     0.0,-99.9,
457,1980-10-14,,     0.0,     0.0,-99.9,
457,1980-10-15,,     0.0,     0.0,-99.9,
457,1980-10-16,,     0.0,     0.0,-99.9,
457,1980-10-17,,     0.0,     0.0,-99.9,
457,1980-10-18,,     0.0,     0.0,-99.9,
457,1980-10-19,,     0.0,     0.0,-99.9,
457,1980-10-20,,     0.0,     0.0,-99.9,
457,1980-10-21,,     0.0,     0.0,-99.9,
457,1980-10-22,,     0.0,     0.0,-99.9,
457,1980-10-23,,     0.0,     0.0,-99.9,
457,1980-10-24,,     0.0,     0.0,-99.9,
457,1980-10-25,,     0.0,     0.0,-99.9,
457,1980-10-26,,     0.0,     0.0,-99.9,
457,1980-10-27,,     0.0,     0.0,-99.9,
457,1980-10-28,,     0.0,     0.0,-99.9,
457,1980-10-29,,     0.0,     0.0,-99.9,
457,1980-10-30,,     0.0,     0.0,-99.9,
457,1980-10-31,,     0.0,     0.0,-99.9,
457,1980-11-01,,     0.0,     0.0,-99.9,
457,1980-11-02,,     0.0,     0.0,-99.9,
457,1980-11-03,,     0.0,     0.0,-99.9,
457,1980-11-04,,     0.0,     0.0,-99.9,
457,1980-11-05,,     0.0,     0.0,-99.9,
457,1980-11-06,,     0.0,     0.0,-99.9,
457,1980-11-07,,     0.0,     0.0,-99.9,
457,1980-11-08,,     0.0,     0.0,-99.9,
457,1980-11-09,,     0.0,     0.0,-99.9,
457,1980-11-10,,     0.0,     3.0,   -50.0,
457,1980-11-11,,     0.0,     3.0,    -0.6,
457,1980-11-12,,     0.0,     3.1,     6.1,
457,1980-11-13,,     0.4,     3.5,    -2.8,
457,1980-11-14,,     0.5,     4.0,    -7.9,
457,1980-11-15,,     0.5,     4.4,     4.1,
457,1980-11-16,,     0.3,     4.4,    -9.3,
457,1980-11-17,,     0.0,     4.4,     0.9,
457,1980-11-18,,     0.0,     4.4,     6.5,
457,1980-11-19,,     0.0,     4.4,-99.9,
457,1980-11-20,,     0.0,     4.4,     1.2,
457,1980-11-21,,     0.0,     4.4,     9.0,
457,1980-11-22,,     0.0,     4.4,    -2.6,
457,1980-11-23,,     0.3,     4.4,    -5.6,
457,1980-11-24,,     0.4,     4.4,    -3.4,
457,1980-11-25,,     0.5,     4.4,    -8.6,
457,1980-11-26,,     0.6,     4.4,    -4.9,
