

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:57:45 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
457,1992-10-01,,     0.0,     0.0,     5.5,    24.1,     3.4,    12.0,
457,1992-10-02,,     0.0,     0.0,     5.9,    24.1,     3.5,    12.2,
457,1992-10-03,,     0.0,     0.0,     5.5,    25.4,     5.1,    13.8,
457,1992-10-04,,     0.0,     0.0,     2.7,    22.5,     4.2,    12.0,
457,1992-10-05,,     0.0,     0.0,    -1.3,    16.7,    -0.4,     6.4,
457,1992-10-06,,     0.0,     0.1,     3.0,    19.2,    -2.1,     7.6,
457,1992-10-07,,     0.0,     0.6,    -3.4,    15.2,    -1.6,     6.5,
457,1992-10-08,,     0.0,     0.6,    -9.6,     5.0,    -9.5,    -2.8,
457,1992-10-09,,     0.0,     0.6,     0.9,     8.7,   -10.3,    -0.6,
457,1992-10-10,,     0.0,     0.6,    -3.4,     8.1,    -2.2,     3.4,
457,1992-10-11,,     0.0,     0.6,    -0.4,    13.1,    -4.2,     3.0,
457,1992-10-12,,     0.0,     0.6,     0.9,    18.0,    -1.0,     6.8,
457,1992-10-13,,     0.0,     0.6,     1.7,    18.1,    -0.2,     7.8,
457,1992-10-14,,     0.0,     0.6,     4.9,    20.7,     0.7,    10.4,
457,1992-10-15,,     0.0,     0.6,     1.7,    16.4,     0.6,     8.5,
457,1992-10-16,,     0.0,     0.7,    -3.0,    11.4,    -2.8,     3.9,
457,1992-10-17,,     0.0,     0.7,    -0.3,     8.4,    -3.3,     1.6,
457,1992-10-18,,     0.0,     0.7,    -1.3,    14.2,    -2.7,     4.3,
457,1992-10-19,,     0.0,     0.7,     0.7,    16.9,    -2.5,     5.7,
457,1992-10-20,,     0.0,     0.7,     1.3,    17.2,    -0.6,     6.5,
457,1992-10-21,,     0.0,     0.7,     2.2,    19.2,    -0.1,     7.9,
457,1992-10-22,,     0.0,     0.7,     1.0,    20.3,     1.4,     6.9,
457,1992-10-23,,     0.0,     0.7,     0.7,    17.6,     0.6,     7.4,
457,1992-10-24,,     0.0,     0.7,     2.7,    19.2,     0.0,     7.4,
457,1992-10-25,,     0.0,     0.7,     4.6,    20.8,     2.4,     9.5,
457,1992-10-26,,     0.0,     0.8,     0.4,    13.4,     0.0,     4.9,
457,1992-10-27,,     0.0,     0.8,     1.0,    12.1,    -0.6,     4.5,
457,1992-10-28,,     0.0,     0.8,     4.1,    15.4,     1.0,     6.7,
457,1992-10-29,,     0.0,     1.0,     1.8,     6.8,     0.5,     3.7,
457,1992-10-30,,     0.0,     1.3,     1.8,     6.3,     1.0,     2.6,
457,1992-10-31,,     0.1,     2.1,    -1.1,     5.7,    -0.4,     2.1,
457,1992-11-01,,     0.3,     2.5,    -3.1,     1.9,    -3.7,    -1.5,
457,1992-11-02,,     1.5,     3.6,    -2.0,    -1.8,    -4.8,    -3.2,
457,1992-11-03,,     2.0,     4.2,    -7.8,    -0.8,    -9.5,    -4.0,
457,1992-11-04,,     2.2,     4.5,    -9.8,    -1.7,   -12.2,    -7.6,
457,1992-11-05,,     2.3,     4.6,    -8.4,    -3.9,   -10.5,    -8.3,
457,1992-11-06,,     2.4,     4.7,    -6.9,    -0.7,    -9.2,    -5.9,
457,1992-11-07,,     2.5,     4.8,    -6.1,    -0.7,    -6.9,    -5.0,
457,1992-11-08,,     2.6,     4.9,    -2.3,     8.1,    -7.7,    -2.7,
457,1992-11-09,,     3.1,     5.5,    -2.4,     6.1,    -5.2,    -2.0,
457,1992-11-10,,     3.2,     5.7,   -10.9,     2.3,   -10.5,    -3.9,
457,1992-11-11,,     3.2,     5.7,   -15.3,    -1.0,   -14.4,    -8.4,
457,1992-11-12,,     3.2,     5.7,   -13.2,     0.5,   -16.9,   -10.6,
457,1992-11-13,,     3.2,     5.7,    -4.2,     1.6,   -14.1,    -6.3,
457,1992-11-14,,     3.2,     5.7,    -7.0,     0.7,    -6.2,    -2.6,
457,1992-11-15,,     3.0,     5.7,    -5.9,    16.0,    -7.5,    -1.2,
457,1992-11-16,,     2.9,     5.7,    -5.5,    15.4,    -6.5,    -0.4,
457,1992-11-17,,     2.9,     5.7,    -5.3,    13.4,    -5.9,    -0.1,
457,1992-11-18,,     2.9,     5.7,    -3.1,    12.0,    -5.9,    -0.6,
457,1992-11-19,,     2.8,     5.7,    -3.8,     6.2,    -6.7,    -1.5,
