

Colorado (PST) SNOTEL Site Dry Lake - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 07:57:53 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
457,1996-10-01,,     0.0,     0.0,     1.8,    19.8,     1.0,     8.6,-99.9,
457,1996-10-02,,     0.0,     0.0,     4.1,    21.1,     0.8,     9.2,-99.9,
457,1996-10-03,,     0.0,     0.0,     6.8,    21.4,     4.3,    11.5,-99.9,
457,1996-10-04,,     0.0,     0.2,     1.0,    13.7,     1.0,     7.2,-99.9,
457,1996-10-05,,     0.0,     0.2,     1.9,    17.0,     0.1,     6.6,-99.9,
457,1996-10-06,,     0.0,     0.2,     2.5,    17.6,     0.3,     7.5,-99.9,
457,1996-10-07,,     0.0,     0.2,     2.6,    19.5,     0.4,     8.2,-99.9,
457,1996-10-08,,     0.0,     0.2,     1.6,    17.1,    -0.1,     7.3,-99.9,
457,1996-10-09,,     0.0,     0.2,     3.1,    17.6,    -0.8,     7.3,-99.9,
457,1996-10-10,,     0.0,     0.2,     4.1,    19.4,     1.1,     8.6,-99.9,
457,1996-10-11,,     0.0,     0.2,     3.0,    21.6,     1.9,     9.6,-99.9,
457,1996-10-12,,     0.0,     0.2,     4.2,    22.4,     1.7,    10.1,-99.9,
457,1996-10-13,,     0.0,     0.2,     3.4,    21.3,     2.2,     9.7,-99.9,
457,1996-10-14,,     0.0,     0.2,     5.1,    20.1,     0.8,     8.7,-99.9,
457,1996-10-15,,     0.0,     0.3,    -1.1,    13.3,    -1.4,     5.5,-99.9,
457,1996-10-16,,     0.0,     0.3,     1.7,    14.7,    -3.2,     4.4,-99.9,
457,1996-10-17,,     0.0,     0.7,    -9.7,     8.5,    -9.7,    -0.5,-99.9,
457,1996-10-18,,     0.0,     0.8,   -10.5,    -0.7,   -12.0,    -8.0,-99.9,
457,1996-10-19,,     0.0,     0.8,    -0.4,    12.2,   -11.0,    -0.2,-99.9,
457,1996-10-20,,     0.4,     1.3,    -5.6,    11.6,    -5.6,     1.7,-99.9,
457,1996-10-21,,     0.4,     1.5,   -10.5,    -0.4,   -13.6,    -7.3,-99.9,
457,1996-10-22,,     0.4,     1.5,   -10.1,    -2.9,   -13.2,    -8.9,-99.9,
