

Colorado (PST) SNOTEL Site Rabbit Ears - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 08:26:17 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,
709,1987-10-01,,     0.0,     0.0,     1.1,     1.8,    -1.6,    -0.3,
709,1987-10-02,,     0.0,     0.0,    -0.5,    20.5,     0.2,     7.9,
709,1987-10-03,,     0.0,     0.0,     2.2,    22.3,    -0.5,     9.3,
709,1987-10-04,,     0.0,     0.0,     3.1,    23.0,     1.8,     9.6,
709,1987-10-05,,     0.0,     0.0,     2.3,    19.4,     1.8,     9.1,
709,1987-10-06,,     0.0,     0.0,     0.3,    18.3,     0.4,     7.2,
709,1987-10-07,,     0.0,     0.0,    -0.9,    17.3,    -0.5,     6.1,
709,1987-10-08,,     0.0,     0.0,     2.6,    21.2,    -1.8,     8.0,
709,1987-10-09,,     0.0,     0.0,     1.1,    19.7,     1.7,     8.6,
709,1987-10-10,,     0.0,     0.0,    -1.0,    16.7,     0.1,     7.2,
709,1987-10-11,,     0.0,     0.1,    -3.1,    15.7,    -1.6,     5.5,
709,1987-10-12,,     0.0,     0.1,    -1.7,    16.1,    -4.1,     3.9,
709,1987-10-13,,     0.0,     0.1,     4.9,    17.9,    -2.3,     7.6,
709,1987-10-14,,     0.0,     0.5,    -1.0,    10.6,    -0.3,     4.7,
709,1987-10-15,,     0.0,     0.6,    -0.5,     4.6,    -1.3,     0.5,
709,1987-10-16,,     0.0,     0.7,    -5.4,     7.5,    -2.5,     1.2,
709,1987-10-17,,     0.0,     0.8,    -3.0,     6.9,    -6.8,    -1.1,
709,1987-10-18,,     0.0,     0.8,    -2.5,    11.9,    -3.7,     2.1,
