

Colorado (PST) SNOTEL Site Rabbit Ears - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jul 27 08:27:06 GMT-08:00 2018. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
709,2013-10-01,,     0.0,     0.0,     7.4,    17.2,     2.3,    10.1,       0,
709,2013-10-02,,     0.0,     0.0,     6.6,-99.9,     3.3,    10.0,       0,
709,2013-10-03,,     0.0,     0.0,     8.2,-99.9,     2.1,     9.7,       0,
709,2013-10-04,,     0.2,     0.8,    -3.1,    39.7,    -3.1,     4.9,       2,
709,2013-10-05,,     1.3,     2.4,    -7.0,    14.8,    -7.1,    -5.1,      10,
709,2013-10-06,,     1.3,     2.4,    -4.8,    22.0,    -8.0,    -4.9,       8,
709,2013-10-07,,     1.2,     2.4,    -0.9,     8.2,    -9.9,     0.5,       8,
709,2013-10-08,,     1.0,     2.4,     3.3,    18.4,    -2.3,     5.1,       5,
709,2013-10-09,,     0.7,     2.4,     2.6,    18.1,     2.5,     7.9,       3,
709,2013-10-10,,     0.6,     2.4,     7.6,    11.8,    -3.9,     7.2,       2,
709,2013-10-11,,     0.7,     2.9,    -0.4,    37.0,   -11.7,     2.7,       4,
709,2013-10-12,,     1.5,     3.8,    -0.5,    36.0,   -12.2,    -0.2,      10,
709,2013-10-13,,     1.3,     3.9,    -0.8,     6.2,    -2.8,     0.4,       8,
709,2013-10-14,,     1.4,     3.9,     1.0,    35.8,    -4.8,     3.4,       8,
709,2013-10-15,,     2.1,     5.0,    -2.6,    18.8,    -8.9,    -0.9,      16,
709,2013-10-16,,     2.1,     5.2,    -6.4,    31.0,    -6.4,    -2.8,      13,
709,2013-10-17,,     2.0,     5.2,    -5.2,     9.0,   -12.4,    -4.0,      12,
709,2013-10-18,,     2.3,     5.4,    -2.8,    34.5,    -5.2,    -1.5,      13,
709,2013-10-19,,     2.3,     5.6,    -4.9,-99.9,    -6.1,    -3.9,      14,
709,2013-10-20,,     2.3,     5.6,     0.5,     9.0,    -6.0,     0.0,      13,
709,2013-10-21,,     2.3,     5.7,    -4.0,    18.7,    -6.0,    -1.6,      13,
709,2013-10-22,,     2.3,     5.7,    -2.0,    20.5,    -6.2,    -1.1,      13,
709,2013-10-23,,     2.3,     5.7,     1.2,    12.4,    -2.0,     3.0,      12,
709,2013-10-24,,     2.3,     5.7,     1.6,    11.9,    -0.4,     4.3,      11,
709,2013-10-25,,     2.3,     5.7,     1.7,    12.7,    -1.3,     4.5,      10,
709,2013-10-26,,     2.2,     5.7,     0.4,    15.2,    -1.0,     4.2,       9,
709,2013-10-27,,     2.2,     5.7,     1.1,    16.4,    -1.4,     3.7,       8,
709,2013-10-28,,     2.1,     5.7,     4.0,    34.9,    -1.9,     4.1,       8,
709,2013-10-29,,     2.1,     5.7,     4.6,    21.9,    -2.9,     5.4,       8,
709,2013-10-30,,     2.4,     6.3,    -2.1,     4.7,    -7.4,     0.8,      10,
709,2013-10-31,,     2.8,     6.8,    -4.5,     9.5,    -7.7,    -3.2,      13,
709,2013-11-01,,     3.2,     7.2,    -2.2,     8.2,    -5.1,    -3.8,      17,
709,2013-11-02,,     3.4,     7.5,    -4.7,     9.9,    -8.0,    -2.7,      17,
709,2013-11-03,,     3.3,     7.5,    -2.2,    12.8,   -11.7,    -1.1,      17,
709,2013-11-04,,     4.1,     8.4,   -10.8,     6.5,   -10.9,    -1.3,      19,
709,2013-11-05,,     4.4,     8.7,    -8.1,    11.5,   -15.5,    -7.5,      21,
709,2013-11-06,,     4.5,     9.0,   -12.1,     1.9,   -15.9,    -9.8,      22,
709,2013-11-07,,     4.7,     9.0,    -4.3,     5.2,   -12.6,    -6.2,      24,
709,2013-11-08,,     4.8,     9.0,     1.0,-99.9,   -10.2,    -1.3,      25,
709,2013-11-09,,     4.8,     9.0,    -1.7,     5.6,    -1.9,     1.0,      23,
709,2013-11-10,,     4.8,     9.0,     0.1,-99.9,    -3.0,     1.6,      21,
709,2013-11-11,,     4.7,     9.0,    -0.6,    24.0,    -1.3,     2.2,      20,
709,2013-11-12,,     4.7,     9.0,    -0.2,-99.9,    -1.2,     2.4,      19,
709,2013-11-13,,     4.6,     9.0,    -1.9,-99.9,    -4.0,     1.5,      18,
709,2013-11-14,,     4.6,     9.0,    -0.8,    26.3,    -2.6,     2.0,      18,
709,2013-11-15,,     4.8,     9.1,    -1.3,-99.9,    -3.0,    -0.5,      19,
709,2013-11-16,,     5.1,     9.7,    -3.7,    10.4,    -3.7,    -1.0,      22,
709,2013-11-17,,     5.6,    10.1,    -5.1,    12.7,    -9.3,    -3.9,      25,
709,2013-11-18,,     6.0,    10.6,    -4.0,    11.7,    -7.8,    -4.6,      25,
709,2013-11-19,,     6.0,    10.7,    -6.1,    27.4,    -6.1,    -2.5,      25,
709,2013-11-20,,     6.5,    11.0,    -1.7,    11.2,    -7.0,    -2.1,      24,
709,2013-11-21,,     6.6,    11.2,    -2.3,    10.9,    -2.8,    -1.2,      28,
709,2013-11-22,,     6.9,    11.5,    -9.2,    13.9,   -10.7,    -5.1,      32,
709,2013-11-23,,     6.9,    11.6,    -5.0,     5.2,    -9.8,    -6.5,      30,
709,2013-11-24,,     6.9,    11.6,    -1.3,     3.8,    -8.9,    -2.3,      29,
709,2013-11-25,,     6.9,    11.6,    -7.5,    12.2,    -7.5,    -2.5,      29,
709,2013-11-26,,     6.9,    11.7,    -7.0,     2.6,    -9.7,    -5.1,      28,
709,2013-11-27,,     6.9,    11.7,    -6.2,    15.9,    -9.4,    -5.1,      28,
709,2013-11-28,,     6.9,    11.7,    -5.4,    28.6,   -10.2,    -3.8,      27,
709,2013-11-29,,     6.9,    11.7,    -3.5,     7.6,    -7.6,    -1.7,      27,
709,2013-11-30,,     6.9,    11.7,    -5.1,     7.6,    -5.9,    -1.8,      27,
709,2013-12-01,,     6.9,    11.7,    -5.9,-99.9,    -7.0,    -3.4,      26,
709,2013-12-02,,     6.9,    11.7,    -2.3,    15.5,    -6.4,    -3.4,      26,
